activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135011000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,3,0,2,1,1,1,2,2,2,295000.0,90.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,335000,1,1,3,5,1,NA,59,50%-60%,1,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,35-44,35-44,No,No,1,3,2,,,,,7,,,,7096,20.0300000000000011,78700,106,2002,3009,41
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135011204,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,32,1,2,2,2,455000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,240,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,114,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,65-74,9999,Yes,NA,1,3,1,,,,,10,,,,3453,26.2699999999999996,78700,209,1070,1340,31
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135010802,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Joint,3,0,2,2,32,1,2,2,2,255000.0,85.0,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,124,49,1,9,2,,,,,2,,,,,2,2,3,,,,,3,,,,,2,2,2,1,2,2,45-54,55-64,No,No,1,3,3,,,,,1,,,,4629,14.5199999999999996,78700,106,1648,2053,28
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135011800,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,4,0,2,1,1,1,2,2,2,345000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,185,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,1,2,2,35-44,25-34,No,No,1,3,1,,,,,10,,,,3490,29,78700,146,654,920,35
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135010701,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,4,0,2,1,1,1,2,2,2,365000.0,NA,NA,NA,3,NA,NA,NA,NA,NA,360,NA,NA,2,2,2,2,NA,1,1,3,5,1,NA,72,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,45-54,45-54,No,No,1,3,1,,,,,10,,,,2029,38.740000000000002,78700,169,616,813,33
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135010801,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Male,1,3,2,1,32,1,2,2,2,105000.0,57.14,4.5,0.9341,2,4115.03,NA,2650.0,1500.0,,180,NA,NA,2,2,2,2,175000,1,1,3,5,1,NA,43,43,3,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,1,5,2,4,55-64,9999,No,NA,1,1,1,,,,,10,,,,4898,30.2800000000000011,78700,98,1649,2251,25
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135010704,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,2,2,32,1,2,2,2,235000.0,81.64,4.875,1.0067,2,7278.38,NA,1684.76,,,360,NA,NA,2,2,2,2,275000,1,1,3,5,1,NA,62,46,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,25-34,9999,No,NA,1,1,3,,,,,10,,,,5741,40.9699999999999989,78700,86,960,1471,30
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135011000,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,2,2,2,32,1,2,2,2,155000.0,85.0,4.99,1.3235,2,6291.0,NA,1919.19,389.19,,360,NA,NA,2,2,2,2,185000,1,1,3,5,1,NA,60,50%-60%,1,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,55-64,9999,Yes,NA,1,1,3,,,,,10,,,,7096,20.0300000000000011,78700,106,2002,3009,41
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135011203,C,FSA/RHS:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,0,2,4,1,1,2,2,2,305000.0,100.0,4.625,0.3594,2,8816.55,NA,3618.38,1140.15,,360,NA,NA,2,2,2,2,305000,1,1,3,5,1,NA,73,36,3,10,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,35-44,9999,No,NA,1,1,4,,,,,10,,,,5678,15.25,78700,110,1840,2562,29
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135011000,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Sex Not Available,1,3,2,1,32,1,2,2,2,285000.0,61.03,4.875,0.3412,2,1528.94,NA,0.0,,,360,NA,NA,2,2,2,2,465000,1,1,3,5,1,NA,142,30%-<36%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,3,5,2,4,45-54,9999,No,NA,2,1,1,,,,,10,,,,7096,20.0300000000000011,78700,106,2002,3009,41
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135011203,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,32,1,2,2,2,165000.0,61.5,4.625,0.9041,2,4683.08,NA,3187.5,2037.5,,180,NA,NA,2,2,2,2,265000,1,1,3,5,1,NA,49,39,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,>74,9999,Yes,NA,1,1,1,,,,,10,,,,5678,15.25,78700,110,1840,2562,29
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135011205,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,1,2,1,1,1,2,2,2,455000.0,94.29,4.875,0.1784,2,3075.51,NA,566.38,566.38,,360,NA,NA,2,2,2,2,485000,1,1,3,5,1,NA,178,39,3,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,45-54,35-44,No,No,1,1,1,,,,,10,,,,7541,51.6599999999999966,78700,182,1463,2102,20
2018,549300FGXN1K3HLB1R50,20500,NC,37135,37135011901,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,3,2,1,31,1,2,2,2,265000.0,63.6,4.75,-0.053,2,3043.92,NA,1150.0,,,360,NA,NA,2,2,2,2,425000,1,1,3,5,1,NA,74,30%-<36%,1,10,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,45-54,9999,No,NA,1,1,2,,,,,10,,,,5351,33.8100000000000023,78700,170,1218,1556,29
